date,transactions
2013-01-01,770
2013-01-02,2111
2013-01-02,2358
2013-01-02,3487
2013-01-02,1922
2013-01-02,1903
2013-01-02,2143
2013-01-02,1874
2013-01-02,3250
2013-01-02,2940
2013-01-02,1293
2013-01-02,3547
2013-01-02,1362
2013-01-02,1102
2013-01-02,2002
2013-01-02,1622
2013-01-02,1167
2013-01-02,1580
2013-01-02,1635
2013-01-02,1369
2013-01-02,1381
2013-01-02,2605
2013-01-02,1038
2013-01-02,1008
2013-01-02,1386
2013-01-02,950
2013-01-02,708
2013-01-02,1401
2013-01-02,776
2013-01-02,1163
2013-01-02,2724
2013-01-02,786
2013-01-02,1691
2013-01-02,1987
2013-01-02,1587
2013-01-02,1178
2013-01-02,915
2013-01-02,1385
2013-01-02,4821
2013-01-02,4208
2013-01-02,4886
2013-01-02,4161
2013-01-02,3397
2013-01-02,2346
2013-01-02,3077
2013-01-02,1985
2013-01-02,998
2013-01-03,1833
2013-01-03,2033
2013-01-03,3026
2013-01-03,1551
2013-01-03,1740
2013-01-03,1795
2013-01-03,1568
2013-01-03,2904
2013-01-03,2396
2013-01-03,1157
2013-01-03,2675
2013-01-03,1248
2013-01-03,916
2013-01-03,1823
2013-01-03,1512
2013-01-03,1101
2013-01-03,1339
2013-01-03,1484
2013-01-03,1098
2013-01-03,1181
2013-01-03,2462
2013-01-03,887
2013-01-03,813
2013-01-03,928
2013-01-03,749
2013-01-03,689
2013-01-03,1126
2013-01-03,727
2013-01-03,1168
2013-01-03,2348
2013-01-03,725
2013-01-03,1526
2013-01-03,1746
2013-01-03,1426
2013-01-03,1171
2013-01-03,809
2013-01-03,1334
2013-01-03,3618
2013-01-03,3314
2013-01-03,3438
2013-01-03,3660
2013-01-03,2887
2013-01-03,1702
2013-01-03,2307
2013-01-03,1644
2013-01-03,920
2013-01-04,1863
2013-01-04,2066
2013-01-04,3188
2013-01-04,1596
2013-01-04,1642
2013-01-04,1679
2013-01-04,1513
2013-01-04,2962
2013-01-04,1975
2013-01-04,970
2013-01-04,2515
2013-01-04,1064
2013-01-04,879
2013-01-04,1641
2013-01-04,1318
2013-01-04,977
2013-01-04,1139
2013-01-04,1238
2013-01-04,1003
2013-01-04,1257
2013-01-04,2607
2013-01-04,1054
2013-01-04,813
2013-01-04,1034
2013-01-04,651
2013-01-04,689
2013-01-04,1246
2013-01-04,680
2013-01-04,948
2013-01-04,2369
2013-01-04,630
2013-01-04,1701
2013-01-04,1723
2013-01-04,1285
2013-01-04,1044
2013-01-04,835
2013-01-04,1358
2013-01-04,4169
2013-01-04,3630
2013-01-04,3434
2013-01-04,3915
2013-01-04,2900
2013-01-04,2016
2013-01-04,2698
2013-01-04,1786
2013-01-04,794
2013-01-05,1509
2013-01-05,2062
2013-01-05,3623
2013-01-05,1825
2013-01-05,1643
2013-01-05,2154
2013-01-05,1599
2013-01-05,3060
2013-01-05,2604
2013-01-05,1269
2013-01-05,3052
2013-01-05,1293
2013-01-05,1336
2013-01-05,2052
2013-01-05,1543
2013-01-05,1109
2013-01-05,1433
2013-01-05,1323
2013-01-05,1713
2013-01-05,1250
2013-01-05,2578
2013-01-05,1355
2013-01-05,1081
2013-01-05,1327
2013-01-05,1033
2013-01-05,749
2013-01-05,1317
2013-01-05,890
2013-01-05,1217
2013-01-05,2599
2013-01-05,723
2013-01-05,1770
2013-01-05,2214
2013-01-05,1851
2013-01-05,1118
2013-01-05,1021
2013-01-05,1205
2013-01-05,4921
2013-01-05,4331
2013-01-05,4935
2013-01-05,4764
2013-01-05,4084
2013-01-05,2562
2013-01-05,3459
2013-01-05,2068
2013-01-05,949
2013-01-06,520
2013-01-06,1992
2013-01-06,3590
2013-01-06,1891
2013-01-06,1754
